Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,21,0,140.0,175.16267709524007,82.0800369999688,392.295009999998,31406.666666666668,0.7250958984126635,0.0,140,200,230,270,310,350,390,390,390,390,390
GET,/explore/,32,0,160.0,246.12712487499877,106.40179400002125,946.8058689999452,47008.4375,1.1049080356764396,0.0,170,220,280,320,470,750,950,950,950,950,950
GET,/login/,10,0,48,54.04863940001405,24.193040999989535,96.64385500002481,26299.2,0.34528376114888737,0.0,56,58,67,89,97,97,97,97,97,97,97
POST,/login/,10,0,1700.0,1672.5677306000193,1310.332887999948,2007.0926110000755,31391.6,0.34528376114888737,0.0,1700,1800,1800,2000,2000,2000,2000,2000,2000,2000,2000
GET,/profile/,23,0,170.0,237.8366489999982,100.175035999996,899.3754020000324,31391.521739130436,0.794152650642441,0.0,170,220,240,280,550,620,900,900,900,900,900
,Aggregated,96,0,160.0,357.19677960416976,24.193040999989535,2007.0926110000755,36070.03125,3.3147241070293187,0.0,160,220,310,350,1300,1700,2000,2000,2000,2000,2000
